Then You Can Tell Me Goodbye,The Ultimate Pop Rock Fake Book,290,1

Teddy Bear,The Ultimate Pop Rock Fake Book,291,1

The Twist,The Ultimate Pop Rock Fake Book,291,1

Tell Laura I Love Her,The Ultimate Pop Rock Fake Book,292,1

There Goes My Baby,The Ultimate Pop Rock Fake Book,292,1

Tom Dooley,The Ultimate Pop Rock Fake Book,293,1

Ther'll Be Sad Songs To Make You Cry,The Ultimate Pop Rock Fake Book,294,1

Theres a Moon out Tonight,The Ultimate Pop Rock Fake Book,295,1

These Dreams,The Ultimate Pop Rock Fake Book,296,1

Things,The Ultimate Pop Rock Fake Book,297,1

This Diamond Ring,The Ultimate Pop Rock Fake Book,298,1

Those Were The Days,The Ultimate Pop Rock Fake Book,298,1

Tossin and Turning,The Ultimate Pop Rock Fake Book,299,1

Time After Time,The Ultimate Pop Rock Fake Book,300,1

Tired of Toein The Line,The Ultimate Pop Rock Fake Book,301,1

To Know Him is to Love Him,The Ultimate Pop Rock Fake Book,302,1

Tabacco Road,The Ultimate Pop Rock Fake Book,302,1

Turn Me Loose,The Ultimate Pop Rock Fake Book,303,1

Tota; Eclipse of the Heart,The Ultimate Pop Rock Fake Book,304,2

Tragedy,The Ultimate Pop Rock Fake Book,306,1

Two Faces Have I,The Ultimate Pop Rock Fake Book,306,2

Turn Turn Turn,The Ultimate Pop Rock Fake Book,308,1

Under the Boardwalk,The Ultimate Pop Rock Fake Book,308,1

Up Up and Away,The Ultimate Pop Rock Fake Book,309,1

Union of the Snake,The Ultimate Pop Rock Fake Book,310,1

Wake Me Up Before you Go Go,The Ultimate Pop Rock Fake Book,310,1

Wayward Wind,The Ultimate Pop Rock Fake Book,311,1

Valotte,The Ultimate Pop Rock Fake Book,312,1

Whats Love Got to Do with It,The Ultimate Pop Rock Fake Book,313,1

Wah Watusi,The Ultimate Pop Rock Fake Book,314,1

Which Way You Going Billy?,The Ultimate Pop Rock Fake Book,314,1

Wake Up Little Susie,The Ultimate Pop Rock Fake Book,315,1

Walk Away Renee,The Ultimate Pop Rock Fake Book,316,1

Wooly Bully,The Ultimate Pop Rock Fake Book,316,1

What You Need,The Ultimate Pop Rock Fake Book,317,1

We Built This City,The Ultimate Pop Rock Fake Book,318,1

Wild Boiys,The Ultimate Pop Rock Fake Book,319,1

Way Down Yonder in New Oreleans,The Ultimate Pop Rock Fake Book,320,1

What I'd Say,The Ultimate Pop Rock Fake Book,320,1

Women In Love,The Ultimate Pop Rock Fake Book,321,1

Waterloo,The Ultimate Pop Rock Fake Book,322,1

You Can't Sit Down,The Ultimate Pop Rock Fake Book,322,1

You Don't Bring Me Flowers,The Ultimate Pop Rock Fake Book,323,1

Who's Johnny,The Ultimate Pop Rock Fake Book,324,1

Wondferful Wonderful,The Ultimate Pop Rock Fake Book,325,1

Whole Lotta Shakin Going On,The Ultimate Pop Rock Fake Book,326,1

Yakety Yak,The Ultimate Pop Rock Fake Book,326,1

